,gene,Mut-S1,Mut-S2,Mut-S3,Mut-S4,Mut-S5,DESeq-S1,DESeq-S2,DESeq-S3,DESeq-S4,DESeq-S5,Correlation,P-value
159,ENSG00000166532.15,0.00,0.00,0.39,4.38,0.00,2.17,2.14,2.17,2.04,2.18,-0.95,0.01
160,ENSG00000079387.13,0.00,0.00,0.49,2.22,0.00,-0.34,-0.35,-0.50,-0.70,-0.29,-0.96,0.01
161,ENSG00000172602.9,0.00,0.00,0.35,1.16,0.00,6.31,6.44,6.21,5.15,6.19,-0.96,0.01
162,ENSG00000161800.12,0.00,0.00,0.00,1.13,0.00,-1.20,-1.31,-1.31,-1.50,-1.25,-0.91,0.03
163,ENSG00000135423.12,0.00,0.00,0.80,0.52,0.00,5.07,5.09,4.18,4.68,5.03,-0.98,0.00
164,ENSG00000076108.11,0.00,0.00,1.60,10.93,0.00,0.17,0.11,-0.08,-0.33,0.26,-0.91,0.03
165,ENSG00000111605.16,0.00,0.00,0.00,9.07,0.00,0.84,0.79,0.79,0.56,0.73,-0.93,0.02
166,ENSG00000120800.4,0.00,0.00,0.00,3.53,0.00,0.57,0.56,0.38,0.07,0.45,-0.92,0.03
167,ENSG00000075188.8,0.00,0.00,0.00,1.68,0.00,0.42,0.45,0.45,0.04,0.35,-0.97,0.01
168,ENSG00000139445.17,0.00,0.00,0.64,0.00,0.00,7.70,7.25,5.55,7.42,6.86,-0.93,0.02
169,ENSG00000089234.15,0.00,0.00,0.00,5.24,0.00,-0.15,-0.06,-0.11,-0.60,-0.27,-0.93,0.02
170,ENSG00000089116.3,0.00,0.00,0.44,8.61,0.00,8.65,7.91,7.85,6.50,8.17,-0.93,0.02
171,ENSG00000135097.6,0.00,0.00,0.47,10.62,0.00,11.23,10.88,10.70,9.67,10.68,-0.93,0.02
172,ENSG00000083642.18,0.00,0.00,4.36,12.02,0.00,0.08,-0.09,-0.25,-0.40,-0.05,-0.91,0.03
173,ENSG00000065150.18,0.00,0.00,0.00,14.88,0.00,0.47,0.43,0.50,0.19,0.55,-0.94,0.02
174,ENSG00000043355.11,0.00,0.00,5.56,11.46,0.00,10.00,9.70,9.19,8.65,9.73,-0.97,0.00
175,ENSG00000100888.13,0.00,0.00,2.16,27.91,0.00,0.64,0.70,0.67,0.45,0.78,-0.91,0.03
176,ENSG00000165821.11,0.00,0.00,0.00,2.61,0.00,5.66,5.50,5.24,4.77,5.59,-0.90,0.04
177,ENSG00000100897.17,0.00,0.00,1.09,2.89,0.00,-0.03,-0.08,-0.30,-0.72,-0.32,-0.92,0.03
178,ENSG00000129521.13,0.00,0.00,0.00,6.58,0.00,9.17,9.16,9.21,8.78,9.13,-0.99,0.00
179,ENSG00000165588.16,0.00,0.00,1.82,7.03,0.00,9.74,9.38,9.38,8.72,9.62,-0.94,0.02
180,ENSG00000023608.4,0.00,0.00,0.48,0.00,0.00,-0.90,-0.86,-1.34,-0.92,-0.94,-0.99,0.00
181,ENSG00000100714.15,0.00,0.00,0.00,0.46,0.00,0.90,0.85,0.82,0.41,0.69,-0.92,0.02
182,ENSG00000182185.18,0.00,0.00,0.00,1.55,0.00,-0.77,-0.71,-0.90,-1.20,-0.82,-0.94,0.02
183,ENSG00000012963.14,0.00,0.00,0.00,0.72,0.00,-0.60,-0.61,-0.63,-1.07,-0.78,-0.93,0.02
184,ENSG00000075413.17,0.00,0.00,0.00,7.48,0.00,-0.43,-0.45,-0.36,-0.63,-0.47,-0.91,0.03
185,ENSG00000114062.18,0.00,0.00,3.19,9.01,0.00,-0.14,-0.15,-0.17,-0.39,-0.12,-0.96,0.01
186,ENSG00000128829.11,0.00,0.00,0.00,4.06,0.00,-0.18,-0.15,-0.17,-0.46,-0.10,-0.97,0.01
187,ENSG00000104142.10,0.00,0.00,0.57,9.93,0.00,-0.72,-0.74,-0.69,-1.24,-0.93,-0.90,0.04
188,ENSG00000137877.9,0.00,0.00,0.21,0.00,0.00,-0.45,-0.57,-1.57,-0.32,-0.79,-0.94,0.02
189,ENSG00000157456.7,0.00,0.00,0.00,1.72,0.00,0.81,0.84,0.71,0.34,0.71,-0.96,0.01
190,ENSG00000157483.8,0.00,0.00,0.36,1.77,0.00,-0.19,-0.30,-0.16,-0.64,-0.08,-0.90,0.03
191,ENSG00000169375.15,0.00,0.00,1.51,19.73,0.00,0.49,0.48,0.17,-0.22,0.28,-0.91,0.03
192,ENSG00000197299.10,0.00,0.00,0.43,3.91,0.00,2.08,2.14,1.97,1.76,2.16,-0.94,0.02
193,ENSG00000102858.12,0.00,0.00,0.00,4.50,0.00,-0.12,-0.08,-0.19,-0.55,-0.22,-0.96,0.01
194,ENSG00000102870.5,0.00,0.00,0.88,12.36,0.00,-1.97,-2.01,-2.01,-2.15,-2.00,-0.98,0.00
195,ENSG00000102935.11,0.00,0.00,0.30,27.40,0.00,2.97,3.00,3.01,2.54,3.02,-1.00,0.00
196,ENSG00000167005.13,0.00,0.00,0.30,6.03,0.00,0.43,0.34,0.44,-0.01,0.46,-0.97,0.01
197,ENSG00000102900.12,0.00,0.00,0.00,6.35,0.00,0.78,0.73,0.71,0.45,0.67,-0.96,0.01
198,ENSG00000141098.12,0.00,0.00,0.00,1.65,0.00,0.33,0.39,0.28,0.13,0.35,-0.92,0.03
199,ENSG00000189091.12,0.00,0.00,2.33,11.97,0.00,-0.07,-0.08,-0.11,-0.37,-0.15,-0.96,0.01
200,ENSG00000260185.1,0.00,0.00,0.00,0.59,0.00,2.69,2.69,2.20,1.21,2.28,-0.93,0.02
201,ENSG00000103111.14,0.00,0.00,0.00,3.61,0.00,-0.66,-0.61,-0.66,-0.91,-0.70,-0.96,0.01
202,ENSG00000132383.11,0.00,0.00,0.00,0.80,0.00,0.15,0.01,0.12,-0.32,0.11,-0.96,0.01
203,ENSG00000070366.13,0.00,0.00,0.90,12.08,0.00,-0.73,-0.72,-0.79,-1.12,-0.74,-1.00,0.00
204,ENSG00000074370.17,0.00,0.00,1.08,2.48,0.00,0.08,0.13,-0.13,-0.19,0.12,-0.94,0.02
205,ENSG00000132388.12,0.00,0.00,0.00,4.74,0.00,1.44,1.30,1.32,0.92,1.55,-0.91,0.03
206,ENSG00000006695.10,0.00,0.00,0.00,1.51,0.00,0.86,0.83,1.03,0.48,0.83,-0.91,0.03
207,ENSG00000011295.15,0.00,0.00,0.00,0.94,0.00,0.98,1.08,1.05,0.59,0.97,-0.97,0.01
208,ENSG00000132589.15,0.00,0.00,0.00,4.38,0.00,-0.65,-0.69,-0.83,-1.43,-0.92,-0.94,0.02
209,ENSG00000184060.10,0.00,0.00,2.60,2.10,0.00,0.37,0.49,-0.27,0.02,0.36,-0.97,0.01
210,ENSG00000266208.1,0.00,0.00,0.00,10.66,0.00,-2.62,-2.81,-2.77,-3.43,-2.67,-0.97,0.01
211,ENSG00000141753.6,0.00,0.00,0.00,2.58,0.00,-3.85,-4.00,-4.35,-5.00,-4.16,-0.91,0.03
212,ENSG00000108828.15,0.00,0.00,0.00,0.46,0.00,-1.72,-1.72,-1.66,-1.94,-1.74,-0.96,0.01
213,ENSG00000108830.9,0.00,0.00,0.76,1.85,0.00,5.48,5.42,5.33,4.82,5.49,-0.97,0.00
214,ENSG00000091947.9,0.00,0.00,0.64,0.00,0.00,-0.81,-0.79,-1.32,-0.95,-0.81,-0.96,0.01
215,ENSG00000167182.14,0.00,0.00,1.30,3.12,0.00,-0.38,-0.33,-0.67,-1.38,-0.72,-0.91,0.03
216,ENSG00000250107.1,0.00,0.00,0.00,0.49,0.00,-1.63,-1.76,-1.40,-2.65,-1.18,-0.92,0.03
217,ENSG00000108395.13,0.00,0.00,0.86,7.44,0.00,0.54,0.50,0.25,-0.02,0.42,-0.92,0.03
218,ENSG00000108406.9,0.00,0.00,0.00,3.16,0.00,-0.27,-0.39,-0.46,-0.92,-0.41,-0.96,0.01
219,ENSG00000108423.14,0.00,0.00,0.00,0.32,0.00,1.71,1.57,1.53,1.29,1.61,-0.91,0.03
220,ENSG00000141376.22,0.00,0.00,1.20,10.13,0.00,-1.12,-1.16,-1.30,-1.82,-1.25,-0.98,0.00
221,ENSG00000108946.14,0.00,0.00,1.29,4.91,0.00,-2.00,-2.06,-2.07,-2.45,-2.12,-0.94,0.02
222,ENSG00000141564.13,0.00,0.00,0.00,1.07,0.00,-1.46,-1.35,-1.46,-1.79,-1.53,-0.92,0.03
223,ENSG00000101654.17,0.00,0.00,0.00,1.95,0.00,0.32,0.34,0.33,-0.03,0.34,-1.00,0.00
224,ENSG00000141447.17,0.00,0.00,0.79,0.80,0.00,-0.72,-0.95,-1.15,-1.32,-0.78,-0.91,0.03
225,ENSG00000166974.12,0.00,0.00,0.53,3.81,0.00,-0.20,-0.16,-0.56,-1.18,-0.46,-0.94,0.02
226,ENSG00000167306.19,0.00,0.00,0.43,1.64,0.00,3.51,3.61,3.46,3.16,3.72,-0.93,0.02
227,ENSG00000091157.13,0.00,0.00,0.00,5.76,0.00,-1.13,-1.12,-1.03,-1.42,-0.95,-0.91,0.03
228,ENSG00000175221.14,0.00,0.00,0.00,1.25,0.00,-0.93,-0.93,-0.98,-1.36,-1.02,-0.98,0.00
229,ENSG00000167658.15,0.00,0.00,3.81,10.55,0.00,-0.38,-0.41,-0.48,-0.92,-0.49,-0.95,0.01
230,ENSG00000126261.12,0.00,0.00,0.00,1.56,0.00,0.44,0.32,0.31,-0.06,0.31,-0.96,0.01
231,ENSG00000178982.9,0.00,0.00,0.00,0.54,0.00,0.12,0.14,0.20,-0.27,0.04,-0.95,0.01
232,ENSG00000105409.17,0.00,0.00,3.01,12.09,0.00,6.06,6.03,6.04,5.77,5.98,-0.93,0.02
233,ENSG00000125741.4,0.00,0.00,0.70,8.35,0.00,-0.66,-0.73,-0.70,-0.89,-0.63,-0.93,0.02
234,ENSG00000024422.11,0.00,0.00,0.00,0.94,0.00,-5.27,-5.37,-5.37,-5.75,-5.24,-0.96,0.01
235,ENSG00000126458.3,0.00,0.00,0.00,1.79,0.00,-4.30,-4.19,-4.23,-4.62,-4.17,-0.96,0.01
236,ENSG00000104973.17,0.00,0.00,0.53,2.77,0.00,0.03,0.08,-0.03,-0.17,0.01,-0.95,0.01
237,ENSG00000161643.12,0.00,0.00,0.40,0.00,0.00,3.56,3.99,2.43,4.10,3.79,-0.95,0.01
238,ENSG00000105568.17,0.00,0.00,0.00,11.31,0.00,-0.31,-0.33,-0.40,-0.72,-0.40,-0.97,0.01
239,ENSG00000101266.18,0.00,0.00,0.32,3.88,0.00,0.69,0.70,0.77,0.36,0.65,-0.94,0.02
240,ENSG00000125827.8,0.00,0.00,0.00,0.56,0.00,-2.44,-2.31,-2.48,-2.90,-2.43,-0.96,0.01
241,ENSG00000088305.18,0.00,0.00,0.00,6.26,0.00,7.76,7.77,7.69,7.33,7.58,-0.91,0.03
242,ENSG00000118707.9,0.00,0.00,5.43,9.32,0.00,1.59,1.48,1.22,0.88,1.57,-0.99,0.00
243,ENSG00000080839.11,0.00,0.00,0.00,2.80,0.00,-1.10,-1.20,-1.14,-1.32,-1.13,-0.91,0.03
244,ENSG00000101413.11,0.00,0.00,0.00,5.02,0.00,-0.54,-0.54,-0.49,-0.85,-0.45,-0.97,0.00
245,ENSG00000124207.16,0.00,0.00,0.68,9.01,0.00,1.25,1.16,1.24,0.84,1.22,-0.97,0.01
246,ENSG00000101126.16,0.00,0.00,0.00,22.35,0.00,0.16,0.02,0.03,-0.22,0.15,-0.91,0.03
